1,abortion,"[名]妊娠中絶"
2,abrupt,"[形]突然の"
3,accessible,"[形]接近できる"
4,accidentally,"[副]偶然に"
5,accommodate,"[動]収容する"
6,accountant,"[名]会計士"
7,accounting,"[名]会計、決算"
8,accumulate,"[動]蓄積する"
9,accuracy,"[名]正確さ"
10,accusation,"[名]告発"
11,ace,"[名]名手"
12,acknowledge,"[動]認める"
13,activist,"[名]活動家"
14,adequate,"[形]適切な"
15,adjective,"[名]形容詞"
16,administrative,"[形]管理の"
17,administrator,"[名]管理者"
18,admirable,"[形]賞賛に値する"
19,admirer,"[名]ファン, 愛慕者"
20,adverb,"[名]副詞"
21,advertiser,"[名]広告主"
22,aftercare,"[名]アフターケア"
23,aha,"[  ]ははあ"
24,airliner,"[名]定期旅客機"
25,alas,"[  ]ああ"
26,alcoholic,"[形]アルコールの"
27,alley,"[名]路地, 横町"
28,ally,"[動]同盟する"
29,almighty,"[形]全能の"
30,alongside,"[副]そばに"
31,alphabetical,"[形]アルファベットの"
32,aluminum,"[名]アルミニウム"
33,ample,"[形]十分な"
34,analyst,"[名]分析者"
35,annoying,"[形]うるさい"
36,anticipation,"[名]予想, 期待"
37,ape,"[名]類人猿"
38,applaud,"[動]拍手を送る"
39,applause,"[名]拍手かっさい, 賞賛"
40,applied,"[形]応用された"
41,architectural,"[形]建築上の"
42,armchair,"[名]肘掛け椅子"
43,ascent,"[名]上昇、昇進"
44,assess,"[動]評価する"
45,assessment,"[名]評価、査定"
46,asset,"[名]資産"
47,astonishment,"[名]驚き"
48,astronaut,"[名]宇宙飛行士"
49,astronomer,"[名]天文学者"
50,astronomy,"[名]天文学"
51,athletics,"[名]陸上競技"
52,attendance,"[名]出席"
53,attentive,"[形]注意深い"
54,attribute,"[動]〈結果を〉〔…に〕帰する"
55,authorize,"[動]権限を与える"
56,babe,"[名]赤ん坊"
57,backbone,"[名]背骨, 背"
58,bacteria,"[名]細菌"
59,badminton,"[名]バドミントン"
60,bald,"[形]禿げた"
61,banish,"[動]追放する"
62,bankrupt,"[形]破産した"
63,banner,"[名]垂れ幕，横断幕"
64,banquet,"[名]宴会、祝宴"
65,barbecue,"[名]バーベキュー"
66,bargaining,"[名]交渉、取引"
67,bazaar,"[名]バザー"
68,beak,"[名]くちばし"
69,beater,"[名]打ちたたく器具"
70,beforehand,"[副]事前に"
71,beneficial,"[形]有益な、ためになる"
72,betrayal,"[名]裏切り"
73,bilingual,"[形]二か国語併用の"
74,biography,"[名]伝記"
75,biting,"[形]鋭い; 痛烈な"
76,bitterness,"[名]恨み、敵意"
77,blast,"[動]爆破する"
78,bleach,"[動]漂白する"
79,blessed,"[形]祝福を受けた"
80,blot,"[名]汚点"
81,blueprint,"[名]設計図"
82,bodily,"[形]肉体の"
83,boiling,"[形]沸き立つ"
84,boldness,"[名]ずうずうしさ"
85,booking,"[名]予約"
86,boom,"[名]にわか景気，ブーム "
87,boost,"[動]押し上げる "
88,booth,"[名]売店"
89,bounce,"[動]ボールがはずむ"
90,boycott,"[名]ボイコット"
91,bravery,"[名]勇敢さ"
92,breaking,"[形]〔ニュースなどが〕最新の"
93,bribe,"[名]賄賂"
94,brighten,"[動]明るくする"
95,brightness,"[名]輝き"
96,brilliance,"[名]すばらしさ"
97,brook,"[名]小川"
98,broom,"[名]ほうき"
99,Buddhism,"[名]仏教"
100,Buddhist,"[名]仏教徒"
101,builder,"[名]建築者"
102,burial,"[名]埋葬"
103,businesslike,"[形]実務的な"
104,buzz,"[動]ハチがブンブン飛ぶ"
105,calculator,"[名]計算機"
106,caller,"[名]訪問者"
107,calmness,"[名]冷静"
108,campground,"[名]キャンプ場"
109,cannon,"[名]大砲"
110,canyon,"[名]峡谷"
111,capability,"[名]能力"
112,caress,"[名]愛撫"
113,cargo,"[名]積荷"
114,carrier,"[名]運搬人"
115,cartoon,"[名]漫画、アニメ"
116,cashier,"[名]レジ係"
117,casually,"[副]偶然に"
118,cello,"[名]チェロ"
119,cemetery,"[名]墓地"
120,certainty,"[名]確実性, 確信"
121,certificate,"[名]証明書"
122,chairperson,"[名]議長"
123,challenger,"[名]挑戦者"
124,changeable,"[形]変わりやすい"
125,characterize,"[動]特徴づける"
126,cheaply,"[副]安く"
127,cheapness,"[名]安っぽさ"
128,checkup,"[名]検診"
129,chilly,"[形]冷え冷えする"
130,choke,"[動]窒息させる"
131,circulation,"[名]循環"
132,cite,"[動]引用する"
133,clash,"[動]衝突する"
134,classification,"[名]分類"
135,classified,"[形]機密扱いの"
136,classify,"[動]分類する"
137,clause,"[名]条項、節"
138,clearing,"[名]清算"
139,clearness,"[名]透明"
140,climatic,"[形]気候の"
141,cloak,"[名]マント、おおい隠すもの"
142,closing,"[名]終了, 締め切り"
143,cluster,"[名]群れ、集団"
144,coarse,"[形]粗い"
145,coating,"[名]上塗り"
146,collective,"[形]集合的な"
147,colored,"[形]着色した"
148,coloring,"[名]着色"
149,combined,"[形]結合した"
150,comeback,"[名]復帰"
151,comet,"[名]彗星（すいせい）"
152,comical,"[形]こっけいな"
153,commence,"[動]開始する"
154,commodity,"[名]日用品、商品"
155,comparable,"[形]匹敵する"
156,comparative,"[形]比較の"
157,comparatively,"[副]比較的に"
158,compass,"[名]コンパス"
159,compel,"[動]強制する"
160,compensation,"[名]賠償"
161,competent,"[形]有能な"
162,competing,"[動]競う、張り合う"
163,completion,"[名]完成、完了"
164,complexity,"[名]複雑さ, 複雑なもの"
165,complicate,"[動]複雑にする"
166,complication,"[名]複雑、面倒な事態"
167,compliment,"[名]ほめ言葉、お世辞"
168,composed,"[形]落ち着いた"
169,comprehend,"[動]理解する"
170,compulsory,"[形]強制的な"
171,conception,"[名]概念、考え"
172,conditional,"[形]条件付きの"
173,condom,"[名]コンドーム"
174,congratulate,"[動]お祝いを述べる"
175,considerably,"[形]かなり"
176,constructive,"[形]建設的な"
177,consultation,"[名]相談"
178,contentment,"[名]満足（感）、充実感"
179,continental,"[形]大陸の"
180,continual,"[形]絶え間ない"
