1,abnormality,"[名]異常"
2,aboriginal,"[形]原住⺠の"
3,abound,"[動]たくさんある"
4,absorbing,"[形]心を奪うような"
5,absorption,"[名]吸収、併合、夢中"
6,accelerate,"[動]加速する"
7,accumulation,"[名]蓄積"
8,acknowledgmen,"[名]承認"
9,acutely,"[副]鋭く"
10,adaptable,"[形]順応性のある"
11,adapter,"[名]アダプター"
12,addict,"[名]常用者"
13,addiction,"[名]熱狂的傾倒"
14,adhere,"[動]付着する"
15,adjustable,"[形]調節できる"
16,adolescence,"[名]思春期"
17,adolescent,"[形]⻘年期の"
18,adverse,"[形]不利な"
19,advisable,"[形]賢明で"
20,advocate,"[名]主唱者、支持者"
21,aerial,"[形]空中の"
22,aerospace,"[名]航空宇宙"
23,aesthetic,"[形]美学の"
24,affectionately,"[副]親しみをこめて"
25,affirmative,"[形]肯定的な"
26,afflict,"[動]苦しめる"
27,aging,"[動]老化、時間効果、熟成"
28,agitation,"[名]動揺"
29,agonize,"[動]苦しみ悶える"
30,allegation,"[名]申し立て、陳述"
31,alleged,"[形]申し立てられた"
32,allegedly,"[副]申し立てによると"
33,allocate,"[動]割り当てる"
34,alpha,"[名]アルファ"
35,alternatively,"[副]どちらか一方で"
36,ambiguity,"[名]曖昧さ"
37,ambiguous,"[形]紛らわしい、曖昧な"
38,amid,"[前]...のまん中に"
39,amused,"[形]面白がっている"
40,analog,"[形]アナログの"
41,analogy,"[名]類比、たとえ"
42,analytic,"[形]分析的な"
43,analytical,"[形]分析的な"
44,anatomy,"[名]解剖学"
45,ancestral,"[形]先祖伝来の"
46,anguish,"[名]苦痛"
47,annoyed,"[形]困って、悩んで"
48,anti,"[形]反対する"
49,antibody,"[名]抗体"
50,apparel,"[名]衣装"
51,appreciative,"[形]感謝している"
52,arbitrary,"[形]任意の"
53,arc,"[名]弧、弓形"
54,archaic,"[形]古風の"
55,arise,"[動]生じる、起こる"
56,aristocracy,"[名]貴族階級"
57,aristocrat,"[名]貴族"
58,aristocratic,"[形]貴族の"
59,array,"[名]配列"
60,arrogance,"[名]ごう慢さ"
61,artisan,"[名]職人、熟練工"
62,ascertain,"[動]確かめる"
63,ascribe,"[動]帰する"
64,aspiration,"[名]大志、志望"
65,aspire,"[動]熱望する"
66,assassinate,"[動]暗殺する"
67,assault,"[名]暴行"
68,assorted,"[形]選別した"
69,assuming,"[形]生意気な"
70,attainment,"[名]達成"
71,attic,"[名]屋根裏"
72,audit,"[名]監査"
73,authentic,"[形]本物の"
74,authoritative,"[形]権威のある"
75,autonomy,"[名]自治"
76,aviation,"[名]航空"
77,avocado,"[名]アボカド"
78,babble,"[動]片言を言う"
79,badge,"[名]バッジ"
80,bail,"[名]保釈"
81,balanced,"[形]釣合いのとれた"
82,ballad,"[名]バラード"
83,baron,"[名]男爵、豪商"
84,barren,"[形]不毛の"
85,bass,"[名]低音"
86,batch,"[名]ひと焼き分"
87,batter,"[名]バッター"
88,bearer,"[名]運搬人、持参人"
89,bearing,"[名]態度"
90,bewilder,"[動]当惑させる"
91,bewilderment,"[名]当惑"
92,biased,"[形]偏見のある"
93,biographer,"[名]伝記作家"
94,biographical,"[形]伝記の"
95,birthrate,"[名]出生率"
96,bishop,"[名]司教、主教"
97,blackmail,"[動]恐喝する"
98,blacksmith,"[名]鍛冶屋"
99,bleak,"[形]寒い"
100,blur,"[動]ぼんやりさせる"
101,borderline,"[名]国境線"
102,botany,"[名]植物学"
103,brace,"[動]踏ん張る"
104,breach,"[名]違反、不履行"
105,breakthrough,"[名]躍進"
106,breakup,"[名]分解、分裂"
107,brew,"[名]醸造"
108,bribery,"[名]収賄"
109,brink,"[名]瀬戶際"
110,broker,"[名]株式仲買人"
111,brood,"[動]卵を抱く"
112,brownie,"[名]ブラウニー"
113,buckle,"[動]バックルで締める"
114,buddy,"[名]親友、仲間"
115,buffalo,"[名]野牛"
116,bulky,"[形]分厚い、太った"
117,bully,"[動]いじめる"
118,bum,"[名]浮浪者、ぐうたら者"
119,bumper,"[名]バンパー"
120,bungalow,"[名]バンガロー"
121,burglary,"[名]強盗"
122,buttonhole,"[名]ボタン穴"
123,calling,"[名]強い衝動、欲求"
124,cancellation,"[名]取り消し"
125,captivity,"[名]監禁"
126,carnival,"[名]カーニバル"
127,casino,"[名]カジノ"
128,casualty,"[名]負傷者、死傷者"
129,categorical,"[形]絶対的な、断言的な"
130,celebrity,"[名]名声、有名人"
131,centigrade,"[名]摂氏"
132,charcoal,"[名]炭、木炭"
133,charitable,"[形]慈悲深い"
134,checklist,"[名]一覧表"
135,childcare,"[名]育児、児童保護"
136,chirp,"[名]チューチューという鳴き声"
137,chord,"[名]楽器の弦"
138,clarity,"[名]明瞭、清澄さ"
139,clasp,"[動]握りしめる"
140,claw,"[名]爪"
141,cleanse,"[動]清潔にする"
142,cleanser,"[名]洗濯人、磨き粉"
143,cleanup,"[名]清掃"
144,clench,"[動]食いしばる"
